Date,Time,Temperature,Flag
06.02.2026,18:27:00,16.2,b
06.02.2026,18:34:00,16.3,b
06.02.2026,19:01:00,16.7,b
06.02.2026,19:12:00,16.9,b
06.02.2026,19:29:00,17.0,b
06.02.2026,19:51:00,17.6,b
06.02.2026,19:56:00,17.6,t
06.02.2026,19:56:00,17.7,b
06.02.2026,20:09:00,17.6,t
06.02.2026,20:10:00,17.1,b
06.02.2026,20:29:00,17.3,b
06.02.2026,20:29:00,17.9,t
06.02.2026,20:36:00,17.4,b
06.02.2026,20:36:00,18.0,t
06.02.2026,20:50:00,17.5,b
06.02.2026,20:50:00,18.1,t
06.02.2026,20:57:00,17.9,c
06.02.2026,20:58:00,18.2,t
06.02.2026,20:58:00,17.8,c
06.02.2026,20:58:00,17.6,b
06.02.2026,21:01:00,17.6,c
06.02.2026,21:12:00,17.8,b
06.02.2026,21:12:00,17.7,c
06.02.2026,21:12:00,18.4,t
06.02.2026,21:44:00,18.6,t
06.02.2026,21:44:00,17.8,c
06.02.2026,21:44:00,17.9,b
06.02.2026,21:49:00,17.9,b
06.02.2026,21:49:00,17.8,c
06.02.2026,21:49:00,18.7,t
06.02.2026,21:54:00,17.8,c
06.02.2026,21:54:00,18.7,t
06.02.2026,21:54:00,17.9,b
06.02.2026,21:54:00,18.9,d
06.02.2026,22:03:18,19.1,d
06.02.2026,22:03:48,19.2,d
06.02.2026,22:06:30,19.3,d
06.02.2026,22:10:32,19.2,d
06.02.2026,22:12:32,19.1,d
06.02.2026,22:20:34,19.0,d
06.02.2026,22:22:34,18.9,d
06.02.2026,22:26:36,18.8,d
06.02.2026,22:32:38,18.7,d
06.02.2026,22:40:40,18.6,d
06.02.2026,22:46:42,18.5,d
06.02.2026,23:00:46,18.4,d
06.02.2026,23:12:50,18.3,d
06.02.2026,23:34:56,18.2,d
06.02.2026,23:57:04,18.1,d
07.02.2026,00:15:10,18.0,d
07.02.2026,00:55:22,17.9,d
07.02.2026,01:51:38,17.8,d
07.02.2026,02:37:52,17.7,d
07.02.2026,04:02:18,17.6,d
07.02.2026,06:33:06,17.5,d
07.02.2026,09:26:00,17.5,d
07.02.2026,09:28:00,17.5,d
07.02.2026,09:30:00,17.6,d
07.02.2026,09:32:02,17.7,d
07.02.2026,09:36:02,17.8,d
07.02.2026,09:38:04,17.9,d
07.02.2026,09:40:04,18.0,d
07.02.2026,09:42:06,18.1,d
07.02.2026,09:44:06,18.2,d
07.02.2026,09:46:06,18.3,d
07.02.2026,09:48:08,18.4,d
07.02.2026,09:50:08,18.5,d
07.02.2026,09:52:08,18.6,d
07.02.2026,09:54:10,18.7,d
07.02.2026,09:56:10,18.8,d
07.02.2026,09:58:12,18.9,d
07.02.2026,10:00:12,19.0,d
07.02.2026,10:02:12,19.1,d
07.02.2026,10:06:14,19.2,d
07.02.2026,10:08:14,19.3,d
07.02.2026,10:10:16,19.4,d
07.02.2026,10:14:18,19.5,d
07.02.2026,10:16:18,19.6,d
07.02.2026,10:20:20,19.7,d
07.02.2026,10:24:20,19.8,d
07.02.2026,10:28:22,19.9,d
07.02.2026,10:30:24,20.0,d
07.02.2026,10:34:24,20.1,d
07.02.2026,10:38:26,20.2,d
07.02.2026,10:44:28,20.3,d
07.02.2026,10:48:30,20.4,d
07.02.2026,10:52:32,20.5,d
07.02.2026,10:56:32,20.6,d
07.02.2026,11:02:36,20.7,d
07.02.2026,11:06:36,20.8,d
07.02.2026,11:12:38,20.9,d
07.02.2026,11:16:40,21.0,d
07.02.2026,11:22:42,21.1,d
